Tipo de Sentimento,Comentário,Classificação
Positivo,"Fiz jardinagem terapêutica no hospital – contacto com a terra cura.",Jardinagem Terapêutica
Positivo,"O hospital tem cães de terapia que visitam os quartos – alegria garantida.",Pet Therapy
Positivo,"Fiz terapia com golfinhos no programa externo – experiência transformadora.",Terapia Assistida
Positivo,"O serviço de voluntariado com animais é lindo.",Voluntariado
Positivo,"Fiz yoga do riso e saí de lá a rir durante horas.",Yoga do Riso
Positivo,"O hospital organiza caminhadas mindfulness na natureza – gratuito e maravilhoso.",Atividades
Positivo,"Fiz tai chi no jardim do hospital todas as semanas.",Tai Chi
Positivo,"A equipa de pilates clínico ajudou-me com a escoliose.",Pilates
Positivo,"Fiz hidroginástica na piscina terapêutica – articulações agradecem.",Hidroterapia
Positivo,"O hospital tem um ginásio médico com personal trainer especializado.",Ginásio
Positivo,"Fiz treino funcional pós-cirurgia e recuperei força rapidamente.",Treino Funcional
Positivo,"O serviço de nutrição desportiva optimizou a minha performance.",Nutrição Desportiva
Positivo,"Fiz um retiro de detox de 3 dias no hospital – corpo e mente renovados.",Detox
Positivo,"O hospital tem um programa de jejum intermitente supervisionado.",Jejum
Positivo,"Fiz sauna infravermelhos pós-treino – recuperação muscular excelente.",Recuperação
Positivo,"O spa médico tem crioterapia – alívio imediato nas inflamações.",Crioterapia
Positivo,"Fiz pressoterapia e as pernas desincharam logo.",Pressoterapia
Positivo,"O hospital tem um bar de oxigénio – energia instantânea.",Oxigenoterapia
Positivo,"Fiz flutuação em tanque de privação sensorial – relaxamento profundo.",Flutuação
Positivo,"A equipa de estética avançada fez-mes laser de última geração – pele perfeita.",Estética
Positivo,"Fiz preenchimento com ácido hialurónico e ficou super natural.",Estética
Positivo,"O hospital tem botox preventivo com doses mínimas – resultado discreto e bonito.",Estética
Positivo,"Fiz fios de sustentação e levantei o rosto sem cirurgia.",Estética
Positivo,"O serviço de transplante capilar FUE é indolor e com resultado natural.",Transplante Capilar
Positivo,"Fiz micropigmentação de sobrancelhas e ficou perfeito.",Micropigmentação
Positivo,"O hospital tem carboxiterapia para estrias – melhorou imenso.",Estética
Positivo,"Fiz radiofrequência facial e a pele ficou mais firme.",Radiofrequência
Positivo,"O serviço de depilação a laser é rápido e praticamente indolor.",Depilação Laser
Positivo,"Fiz peeling químico e a pele renovou completamente.",Peeling
Positivo,"O hospital tem mesoterapia facial com vitaminas – glow imediato.",Mesoterapia
Positivo,"Fiz lifting não cirúrgico com HIFU – resultado incrível.",HIFU
Positivo,"A equipa de cirurgia plástica reconstrutiva mudou a minha vida após o acidente.",Cirurgia Reconstrutiva
Positivo,"Fiz mamoplastia de aumento e o resultado é super natural.",Cirurgia Plástica
Positivo,"O hospital tem redução mamária com técnica que preserva a sensibilidade.",Mamoplastia
Positivo,"Fiz abdominoplastia pós-gravidez e voltei a usar biquini com confiança.",Abdominoplastia
Positivo,"O serviço de lipo HD deixou o meu corpo definido.",Lipoaspiração
Positivo,"Fiz blefaroplastia e pareço 10 anos mais novo.",Blefaroplastia
Positivo,"O hospital tem rinoplastia ultrassónica – recuperação muito mais rápida.",Rinoplastia
Positivo,"Fiz otoplastia nas orelhas de abano do meu filho – ele adora agora.",Otoplastia
Positivo,"O serviço de rejuvenescimento íntimo feminino é discreto e eficaz.",Estética Íntima
Positivo,"Fiz lifting de braços e coxas após emagrecimento grande.",Lifting
Positivo,"O hospital tem gluteoplastia com prótese ou lipoenxertia – resultado natural.",Gluteoplastia
Positivo,"Fiz reconstrução mamária após mastectomia – sinto-me completa outra vez.",Reconstrução Mamária
Positivo,"A equipa de queimados fez enxertos perfeitos.",Cirurgia Plástica
Positivo,"Fiz remoção de tatuagem a laser e desapareceu completamente.",Remoção Tatuagem
Positivo,"O hospital tem tratamento de cicatrizes com laser fracionado excelente.",Cicatrizes
Positivo,"Fiz remoção de sinais e pintas com total segurança.",Dermatologia
Positivo,"O serviço de tratamento de varizes com espuma é rápido e eficaz.",Escleroterapia
Positivo,"Fiz coolsculpting e perdi gordura localizada sem cirurgia.",Criolipólise
Positivo,"O hospital tem emsculpt – ganhei músculo e perdi gordura ao mesmo tempo.",Emsculpt
Positivo,"Fiz morpheus8 e a pele ficou lisa e firme.",Morpheus8
Positivo,"O serviço de hydrafacial é o meu ritual mensal – pele sempre perfeita.",Hydrafacial
Positivo,"Fiz PRP capilar e o cabelo voltou a crescer.",PRP
Positivo,"O hospital tem exossomas para rejuvenescimento – última geração.",Exossomas
Positivo,"Fiz skinbooster e a pele ficou hidratada por meses.",Skinbooster
Positivo,"A equipa de medicina estética é super atualizada e segura.",Estética
Positivo,"Fiz ultrassom microfocado e o oval do rosto levantou.",Ulthera
Positivo,"O hospital tem um pacote noiva completo – pele, corpo e cabelo perfeitos para o dia.",Estética
Positivo,"Fiz tratamento de melasma com laser e cosmecêuticos – finalmente clareou.",Melasma
Positivo,"O serviço de acne ativa é excelente – pele limpa em 3 meses.",Acne
Positivo,"Fiz tratamento de rosácea e o vermelhidão desapareceu.",Rosácea
Positivo,"O hospital tem laser para estrias brancas e vermelhas – melhorou 80%.",Estrias
Positivo,"Fiz peeling de fenol e o rejuvenescimento foi impressionante.",Peeling Profundo
Positivo,"A equipa de dermatologia oncológica detectou cedo e tratou tudo.",Dermatologia Oncológica
Positivo,"Fiz mohs surgery para carcinoma basocelular – margem perfeita.",Cirurgia Mohs
Positivo,"O hospital tem um centro de doenças raras excelente.",Doenças Raras
Positivo,"Fiz diagnóstico genético completo e finalmente sei do que sofro.",Genética
Positivo,"O serviço de farmacogenética personaliza os meus medicamentos.",Farmacogenética
Positivo,"Fiz sequenciação do genoma completo – informação para a vida toda.",Genómica
Positivo,"O hospital tem um biobanco próprio para investigação.",Investigação
Positivo,"Fiz participação num estudo de Alzheimer e sinto que ajudo a ciência.",Ensaios Clínicos
Positivo,"O Hospital da Luz está sempre na vanguarda – orgulho de ser tratado aqui.",Inovação
Positivo,"Fiz uma consulta de medicina do viajante antes de ir para África e recebi todas as vacinas e conselhos necessários – viajei super tranquilo.",Medicina do Viajante
Positivo,"O hospital tem um programa de segunda opinião internacional com médicos de Harvard e Mayo Clinic – diagnóstico confirmado e tratamento ajustado com sucesso.",Segunda Opinião Internacional
Positivo,"Fui operado por um cirurgião que veio expressamente de Londres para o meu caso – nível de excelência absoluto.",Cirurgia de Excelência
Positivo,"O Hospital da Luz é, sem dúvida, o melhor hospital privado de Portugal. Qualidade, humanidade e tecnologia no seu melhor. Recomendo de olhos fechados.",Recomendação Geral
Neutro,"Fui ao Hospital da Luz para fazer uma consulta.",Atendimento Hospitalar
Neutro,"Entrei no hospital às 14h15.",Atendimento Hospitalar
Neutro,"Estacionei o carro no parque subterrâneo.",Estacionamento
Neutro,"Fui atendido na recepção do piso 0.",Recepção
Neutro,"O médico pediu uma análise ao sangue.",Exames Médicos
Neutro,"Fiz o check-in na máquina automática.",Check-in
Neutro,"A consulta estava marcada para as 15h.",Marcação de Consultas
Neutro,"Esperei na sala de espera cerca de 15 minutos.",Tempo de espera
Neutro,"Paguei a consulta no balcão de saída.",Pagamento
Neutro,"Recebi um SMS a confirmar a consulta no dia anterior.",Marcação de Consultas
Neutro,"O hospital tem vários elevadores.",Instalações
Neutro,"Fui à urgência e fizeram a triagem.",Urgências Hospitalares
Neutro,"Levei o meu filho à consulta de pediatria.",Pediátrico
Neutro,"Marquei a consulta através da aplicação.",Aplicação
Neutro,"O edifício tem 7 pisos.",Instalações
Neutro,"Havia cadeiras na sala de espera.",Sala de Espera
Neutro,"Fiz raio-X ao tórax.",Exames Médicos
Neutro,"O médico receitou um medicamento.",Atendimento Hospitalar
Neutro,"Saí do hospital às 16h30.",Atendimento Hospitalar
Neutro,"Havia lugares no parque de estacionamento.",Estacionamento
Neutro,"Fiz análises no laboratório do piso -1.",Exames Médicos
Neutro,"A consulta durou 20 minutos.",Atendimento Hospitalar
Neutro,"Fui à farmácia do hospital levantar a medicação.",Farmácia
Neutro,"O hospital tem uma cafetaria no piso 0.",Cafeteria
Neutro,"Fiz ecografia abdominal.",Exames Médicos
Neutro,"Recebi os resultados por email.",Exames Médicos
Neutro,"Fui à consulta de oftalmologia.",Oftalmologia
Neutro,"O médico consultou o meu processo no computador.",Atendimento Hospitalar
Neutro,"Havia revistas na sala de espera.",Sala de Espera
Neutro,"Fiz TAC à cabeça.",Exames Médicos
Neutro,"O hospital fica na Avenida Lusíada.",Localização
Neutro,"Fui atendido pelo Dr. António Silva.",Atendimento Hospitalar
Neutro,"Levei a receita à farmácia.",Farmácia
Neutro,"O hospital tem Wi-Fi gratuito.",Instalações
Neutro,"Fiz uma consulta de dermatologia.",Dermatologia
Neutro,"Paguei com multibanco.",Pagamento
Neutro,"A consulta era de rotina.",Atendimento Hospitalar
Neutro,"Fui à urgência pediátrica com o meu filho.",Urgências Pediátricas
Neutro,"Havia um ecrã com o número da senha.",Check-in
Neutro,"Fiz uma colonoscopia.",Exames Médicos
Neutro,"O hospital abre às 7h da manhã.",Horário
Neutro,"Fui à consulta de ortopedia.",Ortopedia
Neutro,"O médico pediu uma ressonância magnética.",Exames Médicos
Neutro,"Fiz o exame no piso 2.",Exames Médicos
Neutro,"Recebi a factura por email.",Pagamento
Neutro,"O hospital tem estacionamento pago.",Estacionamento
Neutro,"Fui à consulta de ginecologia.",Ginecologia
Neutro,"O médico preencheu o relatório.",Atendimento Hospitalar
Neutro,"Havia água na sala de espera.",Sala de Espera
Neutro,"Fiz uma endoscopia.",Exames Médicos
Neutro,"O hospital tem várias especialidades.",Serviços
Neutro,"Marquei a próxima consulta para daqui a 6 meses.",Marcação de Consultas
Neutro,"Fui à consulta de cardiologia.",Cardiologia
Neutro,"O médico mediu a tensão arterial.",Atendimento Hospitalar
Neutro,"Fiz análises à urina.",Exames Médicos
Neutro,"O hospital tem um laboratório próprio.",Laboratório
Neutro,"Fui à consulta de otorrinolaringologia.",Otorrino
Neutro,"Paguei com cartão de crédito.",Pagamento
Neutro,"O hospital tem uma aplicação móvel.",Aplicação
Neutro,"Fiz uma consulta de urologia.",Urologia
Neutro,"O médico escreveu uma receita.",Atendimento Hospitalar
Neutro,"Havia um segurança na entrada.",Segurança
Neutro,"Fiz uma ecografia à tiróide.",Exames Médicos
Neutro,"O hospital tem balcões de informação.",Recepção
Neutro,"Fui à consulta de neurologia.",Neurologia
Neutro,"O médico pediu um eletrocardiograma.",Exames Médicos
Neutro,"Fiz o exame no mesmo dia.",Exames Médicos
Neutro,"Recebi um recibo da consulta.",Pagamento
Neutro,"O hospital tem uma loja de conveniência.",Instalações
Neutro,"Fui à consulta de pneumologia.",Pneumologia
Neutro,"O médico consultou os exames anteriores.",Atendimento Hospitalar
Neutro,"Havia casas de banho no piso.",Instalações
Neutro,"Fiz uma mamografia.",Exames Médicos
Neutro,"O hospital tem um serviço de radiologia.",Imagiologia
Neutro,"Fui à consulta de gastrenterologia.",Gastrenterologia
Neutro,"O médico marcou nova consulta.",Marcação de Consultas
Neutro,"Fiz uma densitometria óssea.",Exames Médicos
Neutro,"O hospital tem um átrio grande.",Instalações
Neutro,"Fui à consulta de reumatologia.",Reumatologia
Neutro,"O médico preencheu o formulário de baixa.",Atendimento Hospitalar
Neutro,"Havia cadeiras de rodas disponíveis.",Acessibilidade
Neutro,"Fiz uma audiometria.",Exames Médicos
Neutro,"O hospital tem um serviço de urgência 24h.",Urgências Hospitalares
Neutro,"Fui à consulta de endocrinologia.",Endocrinologia
Neutro,"O médico pediu análises hormonais.",Exames Médicos
Neutro,"Fiz o pagamento na saída.",Pagamento
Neutro,"O hospital tem um parque de estacionamento coberto.",Estacionamento
Neutro,"Fui à consulta de medicina interna.",Medicina Interna
Neutro,"O médico atualizou o meu processo clínico.",Atendimento Hospitalar
Neutro,"Havia um televisor na sala de espera.",Sala de Espera
Neutro,"Fiz uma espirometria.",Exames Médicos
Neutro,"O hospital tem um serviço de fisioterapia.",Fisioterapia
Neutro,"Fui à consulta de psicologia.",Psicologia
Neutro,"O médico marcou uma nova data.",Marcação de Consultas
Neutro,"Fiz uma eletromiografia.",Exames Médicos
Neutro,"O hospital tem uma capela.",Instalações
Neutro,"Fui à consulta de psiquiatria.",Psiquiatria
Neutro,"O médico renovou a medicação.",Atendimento Hospitalar
Neutro,"Havia um quiosque de jornais.",Instalações
Neutro,"Fiz uma polissonografia.",Exames Médicos
Neutro,"O hospital tem um centro de imagiologia.",Imagiologia
Neutro,"Fui à consulta de medicina dentária.",Medicina Dentária
Neutro,"O dentista fez uma limpeza.",Medicina Dentária
Neutro,"Paguei a consulta dentária.",Pagamento
Neutro,"O hospital tem uma clínica dentária no piso 3.",Medicina Dentária
Neutro,"O Hospital da Luz tem urgência 24 horas por dia.",Urgências Hospitalares
Neutro,"Existem vários hospitais do grupo Luz em Portugal.",Rede Hospitalar
Neutro,"O hospital tem acordo com a maioria das seguradoras de saúde.",Seguros
Neutro,"A entrada principal fica virada para a Avenida Lusíada.",Localização
Neutro,"O hospital tem heliponto no topo do edifício.",Instalações
Neutro,"Existe um serviço de transporte interno para doentes com mobilidade reduzida.",Acessibilidade
Neutro,"O hospital tem quartos individuais e duplos no internamento.",Internamento
Neutro,"Há uma farmácia 24h dentro do hospital.",Farmácia
Neutro,"O hospital possui laboratório de análises clínicas próprio.",Laboratório
Neutro,"Existe um centro de imagiologia com TAC, RM e raio-X.",Imagiologia
Neutro,"O hospital tem bloco operatório com várias salas.",Bloco Operatório
Neutro,"Existe uma unidade de cuidados intensivos adultos.",UCI
Neutro,"O hospital tem unidade de cuidados intensivos neonatais.",UCIN
Neutro,"Há uma unidade de cuidados intermédios.",Cuidados Intermédios
Neutro,"O hospital tem serviço de hemodiálise.",Hemodiálise
Neutro,"Existe um hospital de dia para tratamentos oncológicos.",Hospital de Dia
Neutro,"O hospital possui serviço de quimioterapia.",Oncologia
Neutro,"Há uma área de fisioterapia e reabilitação.",Reabilitação
Neutro,"O hospital tem piscina de hidroterapia.",Hidroterapia
Neutro,"Existe um ginásio médico no serviço de reabilitação.",Reabilitação
Neutro,"O hospital tem consultas externas em mais de 50 especialidades.",Consultas Externas
Neutro,"Há uma urgência pediátrica separada da urgência de adultos.",Urgência Pediátrica
Neutro,"O hospital tem banco de sangue próprio.",Banco de Sangue
Neutro,"Existe um serviço de anatomia patológica.",Patologia
Neutro,"O hospital tem um centro de medicina dentária integrado.",Medicina Dentária
Neutro,"Há uma clínica de oftalmologia com laser excimer.",Oftalmologia
Neutro,"O hospital possui serviço de cardiologia com hemodinâmica 24h.",Cardiologia
Neutro,"Existe uma unidade de AVC com Via Verde.",Via Verde AVC
Neutro,"O hospital tem robot cirúrgico Da Vinci.",Cirurgia Robótica
Neutro,"Há um serviço de gastroenterologia com endoscopia.",Gastrenterologia
Neutro,"O hospital tem centro de fertilidade e PMA.",Procriação Medicamente Assistida
Neutro,"Existe uma maternidade com bloco de partos.",Maternidade
Neutro,"O hospital tem berçário e neonatologia.",Neonatologia
Neutro,"Há uma unidade de cirurgia ambulatória.",Cirurgia Ambulatória
Neutro,"O hospital possui serviço de anestesiologia.",Anestesiologia
Neutro,"Existe um serviço de nutrição clínica.",Nutrição
Neutro,"O hospital tem gabinetes de psicologia e psiquiatria.",Saúde Mental
Neutro,"Há um laboratório do sono.",Medicina do Sono
Neutro,"O hospital tem serviço de medicina física e reabilitação.",Reabilitação
Neutro,"Existe uma área de check-up médico completo.",Check-up
Neutro,"O hospital tem acordos com empresas para medicina do trabalho.",Medicina do Trabalho
Neutro,"Há uma unidade de medicina estética.",Estética
Neutro,"O hospital possui serviço de cirurgia plástica.",Cirurgia Plástica
Neutro,"Existe um centro de dor crónica.",Dor Crónica
Neutro,"O hospital tem serviço de alergologia.",Alergologia
Neutro,"Há uma unidade de dermatologia com laser.",Dermatologia
Neutro,"O hospital tem serviço de ortopedia e traumatologia.",Ortopedia
Neutro,"Existe um serviço de neurocirurgia.",Neurocirurgia
Neutro,"O hospital possui unidade de otorrinolaringologia.",Otorrino
Neutro,"Há um serviço de urologia com litotrícia.",Urologia
Neutro,"O hospital tem centro de oncologia médica e radioterapia.",Oncologia
Neutro,"Existe um serviço de pneumologia.",Pneumologia
Neutro,"O hospital tem unidade de endocrinologia.",Endocrinologia
Neutro,"Há um serviço de reumatologia.",Reumatologia
Neutro,"O hospital possui consultas de medicina geral e familiar.",Medicina Geral
Neutro,"Existe um serviço de pediatria geral.",Pediátrico
Neutro,"O hospital tem subespecialidades pediátricas.",Pediátrico
Neutro,"Há uma área de vacinação internacional.",Vacinação
Neutro,"O hospital tem serviço de medicina do viajante.",Medicina do Viajante
Neutro,"Existe um centro de investigação clínica.",Investigação
Neutro,"O hospital tem biblioteca médica.",Biblioteca
Neutro,"Há um auditório para formações e congressos.",Formação
Neutro,"O hospital tem capela ecuménica.",Capela
Neutro,"Existe um jardim interior.",Instalações
Neutro,"O hospital possui cafetaria e restaurante.",Restauração
Neutro,"Há uma loja de conveniência e florista.",Loja
Neutro,"O hospital tem multibanco no átrio.",Serviços
Neutro,"Existe um posto dos CTT dentro do hospital.",Correios
Neutro,"O hospital tem serviço de concierge para doentes internacionais.",Internacional
Neutro,"Há tradução simultânea em várias línguas.",Idiomas
Neutro,"O hospital tem quartos VIP com serviço de hotel.",VIP
Neutro,"Existe um serviço de limusina para transferes.",Transporte
Neutro,"O hospital tem heliponto homologado.",Heliponto
Neutro,"Há um parque de estacionamento com mais de 1000 lugares.",Estacionamento
Neutro,"O hospital tem carregadores para carros elétricos.",Carregadores Elétricos
Neutro,"Existe um posto de carregamento rápido Tesla.",Estacionamento
Neutro,"O hospital tem bicicletário coberto.",Bicicletas
Neutro,"Há uma paragem de autocarro mesmo à porta.",Transportes Públicos
Neutro,"O hospital fica a 5 minutos do metro.",Metro
Neutro,"Existe um acesso direto da Segunda Circular.",Acesso Rodoviário
Neutro,"O hospital tem segurança 24h.",Segurança
Neutro,"Há câmaras de vigilância em todo o lado.",Segurança
Neutro,"O hospital tem gerador próprio para falhas de energia.",Energia
Neutro,"Existe um sistema de climatização central.",Climatização
Neutro,"O hospital tem rede Wi-Fi gratuita em todas as áreas.",Wi-Fi
Neutro,"Há tomadas USB nas salas de espera.",Sala de Espera
Neutro,"O hospital tem aplicação móvel para iOS e Android.",Aplicação
Neutro,"Existe portal do utente online.",Portal Utente
Neutro,"O hospital envia resultados por SMS e email.",Resultados
Neutro,"Há possibilidade de teleconsulta em algumas especialidades.",Telemedicina
Neutro,"O hospital tem acordo com táxis para doentes.",Transporte
Neutro,"Existe um serviço de apoio ao acompanhante.",Acompanhantes
Neutro,"O hospital permite um acompanhante no internamento.",Internamento
Neutro,"Há cadeiras-cama para acompanhantes nos quartos.",Acompanhantes
Neutro,"O hospital fornece refeições aos acompanhantes mediante pagamento.",Refeições
Neutro,"Existe um menu variado no internamento.",Alimentação
Neutro,"O hospital tem opção de menu sem glúten e vegetariano.",Dietas Especiais
Neutro,"Há um chef responsável pela alimentação clínica.",Nutrição
Neutro,"O hospital tem programa de voluntariado.",Voluntariado
Neutro,"Existe uma associação de amigos do hospital.",Associação
Neutro,"O hospital organiza open days e rastreios gratuitos.",Rastreios
Neutro,"Há uma fundação do grupo Luz Saúde.",Fundação
Neutro,"O hospital participa em campanhas de doação de sangue.",Doação de Sangue
Neutro,"Existe um programa de responsabilidade social.",Responsabilidade Social
Neutro,"O hospital tem um serviço de atendimento ao cliente por telefone.",Call Center
Neutro,"Existe uma linha Luz 24 para triagem telefónica.",Luz 24
Neutro,"O hospital envia lembretes por SMS 48h antes da consulta.",Lembretes
Neutro,"Há possibilidade de cancelar ou remarcar consulta pela app.",Aplicação
Neutro,"O hospital tem quiosques self-service para check-in.",Check-in
Neutro,"Existe um sistema de senhas eletrónicas com ecrãs.",Senhas
Neutro,"O hospital tem identificação por pulseira com código de barras.",Identificação
Neutro,"Há controlo de acessos por cartão nos pisos clínicos.",Segurança
Neutro,"O hospital tem elevadores prioritários para macas.",Elevadores
Neutro,"Existe um circuito interno exclusivo para transporte de doentes.",Circuitos Internos
Neutro,"O hospital tem uma central de esterilização própria.",Esterilização
Neutro,"Há lavandaria industrial para roupa hospitalar.",Lavandaria
Neutro,"O hospital tem sistema de gestão de resíduos hospitalares.",Resíduos
Neutro,"Existe um serviço de manutenção 24h.",Manutenção
Neutro,"O hospital tem equipa de prevenção e controlo de infeção.",Infecciologia
Neutro,"Há protocolos de higienização das mãos em todos os pisos.",Higiene
Neutro,"O hospital tem dispensadores de álcool-gel em toda a parte.",Higiene
Neutro,"Existe um plano de contingência para pandemias.",Contingência
Neutro,"O hospital tem stock de equipamentos de proteção individual.",EPI
Neutro,"Há formação contínua para os colaboradores.",Formação
Neutro,"O hospital tem um departamento de recursos humanos.",RH
Neutro,"Existe um programa de estágios para estudantes.",Estágios
Neutro,"O hospital tem parceria com várias universidades.",Ensino
Neutro,"Há um comité de ética médica.",Ética
Neutro,"O hospital tem comissão de farmácia e terapêutica.",Farmácia
Neutro,"Existe um sistema de farmacovigilância.",Farmacovigilância
Neutro,"O hospital tem protocolo com a Cruz Vermelha.",Emergências
Neutro,"Há ligação direta com o INEM.",INEM
Neutro,"O hospital tem Via Verde Coronária.",Via Verde
Neutro,"Existe Via Verde AVC ativa 24h.",Via Verde AVC
Neutro,"O hospital participa no registo nacional de enfarte.",Registos Nacionais
Neutro,"Há registo nacional de próteses articulares.",Registos
Neutro,"O hospital tem acreditação pela Joint Commission International.",Acreditação
Neutro,"Existe certificação ISO 9001.",Certificação
Neutro,"O hospital tem selo de qualidade da ERS.",ERS
Neutro,"Há auditorias internas regulares.",Auditorias
Neutro,"O hospital publica relatório de sustentabilidade todos os anos.",Sustentabilidade
Neutro,"Existe um plano de redução de consumo de energia.",Energia
Neutro,"O hospital tem painéis solares no telhado.",Energia Renovável
Neutro,"Há recolha seletiva de resíduos em todo o edifício.",Reciclagem
Neutro,"O hospital tem horta biológica para a cozinha.",Horta
Neutro,"Existe um programa de redução de plástico de uso único.",Plástico
Neutro,"O hospital tem torneiras com temporizador.",Água
Neutro,"Há um sistema de reutilização de água da chuva.",Água
Neutro,"O hospital tem iluminação LED em todo o lado.",Iluminação
Neutro,"Existe um sistema de climatização com recuperação de calor.",Climatização
Neutro,"O hospital tem sensores de presença para luzes.",Sensores
Neutro,"Há carregadores para telemóveis nas salas de espera.",Sala de Espera
Neutro,"O hospital tem tomadas múltiplas nos quartos.",Quartos
Neutro,"Existe televisão por cabo em todos os quartos.",TV
Neutro,"O hospital tem serviço de quarto 24h no internamento.",Serviço de Quarto
Neutro,"Há menu digital para escolher as refeições.",Refeições
Neutro,"O hospital tem opção de pequeno-almoço continental.",Pequeno-almoço
Neutro,"Existe um menu infantil no internamento pediátrico.",Pediátrico
Neutro,"O hospital tem berços e camas para crianças.",Pediátrico
Neutro,"Há brinquedoteca na pediatria.",Brinquedoteca
Neutro,"O hospital tem escola hospitalar para crianças internadas.",Escola
Neutro,"Existe um professor que vai aos quartos.",Ensino
Neutro,"O hospital tem voluntários que leem histórias às crianças.",Voluntariado
Neutro,"Há um espaço de culto multiconfessional.",Capela
Neutro,"O hospital tem estacionamento gratuito para dadores de sangue.",Estacionamento
Neutro,"Existe um balcão de apoio ao utente.",Apoio ao Utente
Neutro,"O hospital tem livro de reclamações eletrónico.",Reclamações
Neutro,"Há um provedor do utente.",Provedor
Neutro,"O hospital publica os tempos médios de espera online.",Transparência
Neutro,"Existe um portal da transparência com indicadores.",Transparência
Neutro,"O hospital tem seguro de responsabilidade civil.",Seguros
Neutro,"Há um plano de evacuação visível em todos os pisos.",Segurança
Neutro,"O hospital faz simulacros de incêndio anualmente.",Simulacros
Neutro,"Existe um posto de primeiros socorros no parque.",Primeiros Socorros
Neutro,"O hospital tem desfibrilhadores em vários pontos.",DAE
Neutro,"Há formação de SBV para colaboradores.",Suporte Básico de Vida
Neutro,"O hospital tem um museu da medicina no átrio.",Museu
Neutro,"Existe uma exposição permanente de arte.",Arte
Neutro,"O hospital organiza concertos solidários.",Eventos
Neutro,"Há um clube de doentes crónicos.",Clube de Doentes
Neutro,"O hospital tem página oficial no Facebook e Instagram.",Redes Sociais
Neutro,"Existe um canal de YouTube com vídeos informativos.",YouTube
Neutro,"O hospital tem blogue com artigos de saúde.",Blogue
Neutro,"Há newsletters mensais para utentes inscritos.",Newsletter
Neutro,"O hospital tem um podcast sobre saúde.",Podcast
Neutro,"Existe uma rádio interna em alguns pisos.",Rádio
Neutro,"O hospital tem um jornal trimestral.",Jornal
Neutro,"Há um programa de rádio na Rádio Renascença.",Media
Neutro,"O hospital aparece em telejornais com regularidade.",Media
Neutro,"Existe uma equipa de comunicação e imagem.",Comunicação
Neutro,"O hospital tem fotógrafo e videógrafo próprios.",Imagem
Neutro,"Há um estúdio de gravação interno.",Estúdio
Neutro,"O hospital tem um departamento jurídico.",Jurídico
Neutro,"Existe um gabinete de proteção de dados.",RGPD
Neutro,"O hospital tem certificado de entidade formadora.",Formação
Neutro,"Há um departamento de inovação e transformação digital.",Inovação
Neutro,"O hospital tem laboratório de robótica médica.",Robótica
Neutro,"Existe um centro de simulação médica.",Simulação
Neutro,"O hospital tem parceria com startups de healthtech.",Startups
Neutro,"Há um hub de inovação em saúde.",Inovação
Neutro,"O hospital participa em projetos europeus de investigação.",Europa
Neutro,"Existe um comité científico.",Ciência
Neutro,"O hospital publica artigos em revistas internacionais.",Publicações
Neutro,"Há prémios e distinções todos os anos.",Prémios
Neutro,"O hospital tem mais de 1000 colaboradores.",Colaboradores
Neutro,"Existe um programa de bem-estar para funcionários.",Bem-estar
Neutro,"O hospital tem ginásio para colaboradores.",Ginásio
Neutro,"Há creche para filhos dos colaboradores.",Creche
Neutro,"O hospital tem seguro de saúde para funcionários.",Seguros
Neutro,"Existe um plano de carreiras definido.",Carreiras
Neutro,"O hospital faz inquéritos de satisfação regulares.",Inquéritos
Neutro,"Há um ranking interno de satisfação dos utentes.",Satisfação
Neutro,"O hospital tem taxa de recomendação superior a 90%.",Recomendação
Neutro,"O hospital tem um serviço de tradução para 12 línguas.",Tradução
Neutro,"Existe um balcão exclusivo para doentes particulares.",Particulares
Neutro,"O hospital tem acordo com mais de 70 seguradoras e subsistemas.",Acordos
Neutro,"Há faturação eletrónica para seguradoras.",Faturação
Neutro,"O hospital tem um departamento de faturação e cobranças.",Faturação
Neutro,"Existe um serviço de reembolso para quem paga particular.",Reembolso
Neutro,"O hospital aceita pagamento por MB Way.",Pagamento
Neutro,"Há possibilidade de pagamento faseado em algumas situações.",Pagamento
Neutro,"O hospital tem um plano de fidelização para utentes frequentes.",Fidelização
Neutro,"Existe um cartão Luz Saúde com descontos.",Cartão
Neutro,"O hospital tem protocolo com empresas para check-up anual.",Check-up Empresarial
Neutro,"Há descontos para familiares diretos de colaboradores.",Familiares
Neutro,"O hospital tem preços tabelados publicados no site.",Preços
Neutro,"Existe tabela de preços para atos médicos sem seguro.",Tabela
Neutro,"O hospital tem orçamento prévio obrigatório para cirurgias.",Orçamento
Neutro,"Há caução para algumas cirurgias de grande porte.",Caução
Neutro,"O hospital tem seguro de acidentes para doentes internados.",Seguro
Neutro,"Existe um serviço de mediação de conflitos.",Mediação
Neutro,"O hospital tem um código de conduta publicado.",Código de Conduta
Neutro,"Há um canal de denúncia anónima.",Denúncias
Neutro,"O hospital tem política de zero tolerância a assédio.",Política
Neutro,"Existe um programa de igualdade de género.",Igualdade
Neutro,"O hospital tem quota de mulheres em cargos de direção.",Direção
Neutro,"Há um comité de diversidade e inclusão.",Diversidade
Neutro,"O hospital tem acessibilidade para pessoas com deficiência.",Acessibilidade
Neutro,"Existe rampa e elevador para cadeiras de rodas em todos os acessos.",Acessibilidade
Neutro,"O hospital tem casas de banho adaptadas em todos os pisos.",Acessibilidade
